conf_val,fit_m,fit_b,cov_m,cov_b,cov_corr,root_mean_square,root_mean_log_square_error,mean_log_abs_diff
0.0,0.45695987998787624,81.66750635965958,5.2971748779200866e-05,921.4850188557117,-0.009764228660299783,2794.451692388361,0.6186197141563999,6.0699246951862555
0.01,0.4569473538414102,81.66941007283761,5.29723833525546e-05,921.496057755735,-0.009764345630561676,2794.7099975464666,0.6186294150092262,6.070053126474109
0.02,0.45694260213067317,81.66988023434946,5.297907217694963e-05,921.6124150898955,-0.00976557857476999,2796.8786256462936,0.618633782801011,6.07042426338656
0.03,0.4569353084996431,81.67101737079737,5.297816225434873e-05,921.5965862742652,-0.009765410849660984,2796.320877241584,0.618639354770886,6.070347146805063
0.04,0.45693601495369485,81.67091002354871,5.297843179626737e-05,921.6012751668485,-0.00976546053404913,2796.434720742214,0.6186388148944645,6.070370268637316
0.05,0.4569367245865793,81.6708038989389,5.2978373242199985e-05,921.6002565730295,-0.009765449740837349,2796.4190431636293,0.6186382608032955,6.070364016798177
0.06,0.4569342431383347,81.67121510789559,5.29772698151449e-05,921.581061596007,-0.009765246347248803,2795.7591984068254,0.6186400932705015,6.0702411273983214
0.07,0.4569343764064743,81.67119667491545,5.297719368733988e-05,921.5797372932709,-0.00976523231468781,2795.7152539137146,0.6186399854767116,6.07023102567622
0.08,0.45693492055605756,81.67111195542552,5.297725892823053e-05,921.580872209613,-0.009765244340474932,2795.7564559234806,0.6186395694198449,6.070236810700475
0.09,0.4569352592659388,81.67106037903676,5.297725349337888e-05,921.5807776661158,-0.009765243338674246,2795.755086844195,0.6186393074953509,6.0702346508916225
0.1,0.45693580647089016,81.67097736037763,5.297729067410078e-05,921.5814244538661,-0.009765250192158959,2795.795285058467,0.6186388771736296,6.070240242594975
0.11,0.45693642279863805,81.67087792970106,5.2977502793543655e-05,921.5851144375521,-0.009765289291920458,2795.923033587066,0.6186384147827138,6.070264062500515
0.12,0.45693655386256593,81.67086276914334,5.297736934911632e-05,921.5827930673223,-0.009765264694244678,2795.8751700719363,0.6186383003845446,6.070255153887681
0.13,0.4569325278572891,81.67147358858911,5.297752301278988e-05,921.5854661671611,-0.009765293018913584,2795.943611948769,0.6186414194053704,6.070291899527392
0.14,0.45693274977534687,81.6714404451144,5.297768659415015e-05,921.5883117929208,-0.009765323171699607,2795.9946752611004,0.6186412517340029,6.070300114299197
0.15,0.45693131187642133,81.67163135631758,5.29788565166239e-05,921.6086635097815,-0.00976553882232115,2796.687809381873,0.6186424347107456,6.070456438386202
0.16,0.4569313785092601,81.67162213999795,5.297881836769694e-05,921.6079998793466,-0.009765531790368183,2796.665804396604,0.6186423808119761,6.070451398309325
0.17,0.4569316827997789,81.67157680805991,5.297880331980321e-05,921.6077381094607,-0.009765529016605212,2796.6734818331634,0.6186421425231989,6.070452363402374
0.18,0.4569299392476244,81.67173152309634,5.298150569252114e-05,921.6547479974166,-0.009766027142224083,2797.3834725080733,0.6186437972440169,6.070554591089331
